
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-08-15 11:03:02 /api/v1/notifications/stream ....................................................... ~ 515.38ms
  2026-08-15 11:03:04 /api/v1/notifications/stream ....................................................... ~ 506.80ms
  2026-08-15 11:03:05 /api/v1/notifications/stream ....................................................... ~ 515.99ms
  2026-08-15 11:03:07 /api/v1/notifications/stream ....................................................... ~ 513.94ms
  2026-08-15 11:03:09 /api/v1/notifications/stream ....................................................... ~ 505.46ms
  2026-08-15 11:03:10 /api/v1/auth/logout ................................................................ ~ 505.77ms
  2026-08-15 11:03:11 /api/v1/auth/login ....................................................................... ~ 1s
  2026-08-15 11:03:12 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:03:13 /api/v1/notifications/unread-count ................................................. ~ 503.65ms
  2026-08-15 11:03:13 /api/v1/reviewer/purchase-requests ....................................................... ~ 1s
  2026-08-15 11:03:14 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:03:15 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 11:03:15 /api/v1/reviewer/purchase-requests ....................................................... ~ 1s
  2026-08-15 11:03:16 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 11:03:16 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:03:17 /api/v1/reviewer/purchase-requests/1 ..................................................... ~ 1s
  2026-08-15 11:03:17 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 11:03:18 /api/v1/reviewer/purchase-requests/1 ..................................................... ~ 1s
  2026-08-15 11:03:19 /api/v1/notifications/stream ............................................................. ~ 2s
  2026-08-15 11:03:22 /api/v1/notifications/stream ......................................................... ~ 0.16ms
  2026-08-15 11:03:23 /api/v1/reviewer/purchase-requests/1/approve ......................................... ~ 0.11ms
  2026-08-15 11:03:23 /api/v1/reviewer/purchase-requests/1/approve ....................................... ~ 513.13ms
  2026-08-15 11:03:23 /api/v1/notifications/stream ....................................................... ~ 504.62ms
  2026-08-15 11:03:24 /api/v1/reviewer/purchase-requests ....................................................... ~ 1s
  2026-08-15 11:03:25 /api/v1/reviewer/purchase-requests ................................................. ~ 504.94ms
  2026-08-15 11:03:25 /api/v1/notifications/stream ....................................................... ~ 505.90ms
  2026-08-15 11:03:26 /api/v1/procurement/analytics ...................................................... ~ 513.90ms
  2026-08-15 11:03:26 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 11:03:26 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 11:03:27 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 11:03:27 /api/v1/notifications/unread-count ................................................. ~ 507.68ms
  2026-08-15 11:03:28 /api/v1/notifications/unread-count ................................................. ~ 506.30ms
  2026-08-15 11:03:28 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 11:03:29 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 11:03:29 /api/v1/notifications/unread-count ................................................. ~ 517.79ms
  2026-08-15 11:03:29 /api/v1/notifications/unread-count ................................................. ~ 513.23ms
  2026-08-15 11:03:30 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 11:03:30 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 11:03:31 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:03:31 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 11:03:32 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 11:03:32 /api/v1/admin/users ...................................................................... ~ 1s
  2026-08-15 11:03:33 /api/v1/admin/categories ................................................................. ~ 1s
  2026-08-15 11:03:33 /api/v1/admin/users ...................................................................... ~ 1s
  2026-08-15 11:03:34 /api/v1/admin/roles ...................................................................... ~ 1s
  2026-08-15 11:03:34 /api/v1/admin/departments ................................................................ ~ 1s
  2026-08-15 11:03:35 /api/v1/purchase-requests/10/submit ................................................ ~ 506.21ms
  2026-08-15 11:03:35 /api/v1/notifications/unread-count ................................................. ~ 517.47ms
  2026-08-15 11:03:35 /api/v1/notifications/unread-count ................................................. ~ 518.11ms
  127.0.0.1:61347 Invalid request (An existing connection was forcibly closed by the remote host)
